SHARE_CODE,ISSUER_NAME
IGAR,CHAMPION PACIFIC INDONESIA Tbk
IIKP,INTI AGRI RESOURCES Tbk
IKAI,INTIKERAMIK ALAMASRI INDUSTRI Tbk
IKAN,ERA MANDIRI CEMERLANG Tbk
IKBI,SUMI INDO KABEL Tbk
IKPM,IKAPHARMINDO PUTRAMAS Tbk
IMAS,INDOMOBIL SUKSES INTERNASIONAL Tbk
IMJS,INDOMOBIL MULTI JASA Tbk
IMPC,IMPACK PRATAMA INDUSTRI Tbk
INAF,INDOFARMA Tbk
INAI,INDAL ALUMINIUM INDUSTRY Tbk
INCF,INDO KOMODITI KORPORA Tbk
INCI,INTANWIJAYA INTERNASIONAL Tbk
INCO,VALE INDONESIA Tbk
INDF,INDOFOOD SUKSES MAKMUR Tbk
INDO,ROYALINDO INVESTA WIJAYA Tbk
INDR,INDO-RAMA SYNTHETICS Tbk
INDS,INDOSPRING Tbk
INDX,TANAH LAUT Tbk
INDY,INDIKA ENERGY Tbk
INET,SINERGI INTI ANDALAN PRIMA Tbk
INKP,INDAH KIAT PULP AND PAPER Tbk
INOV,INOCYCLE TECHNOLOGY GROUP Tbk
INPC,BANK ARTHA GRAHA INTERNASIONAL Tbk
INPP,INDONESIAN PARADISE PROPERTY Tbk
INPS,INDAH PRAKASA SENTOSA Tbk
INRU,TOBA PULP LESTARI Tbk
INTA,INTRACO PENTA Tbk
INTD,INTER DELTA Tbk
INTP,INDOCEMENT TUNGGAL PRAKARSA Tbk
IOTF,SUMBER SINERGI MAKMUR Tbk
IPAC,ERA GRAHAREALTY Tbk
IPCC,INDONESIA KENDARAAN TERMINAL Tbk
IPCM,JASA ARMADA INDONESIA Tbk
IPOL,INDOPOLY SWAKARSA INDUSTRY Tbk
IPPE,INDO PURECO PRATAMA Tbk
IPTV,MNC VISION NETWORKS Tbk
IRRA,ITAMA RANORAYA Tbk
IRSX,FOLAGO GLOBAL NUSANTARA Tbk
ISAP,ISRA PRESISI INDONESIA Tbk
ISAT,INDOSAT Tbk
ISEA,INDO AMERICAN SEAFOODS Tbk
ISSP,STEEL PIPE INDUSTRY OF INDONESIA Tbk
ITIC,INDONESIAN TOBACCO Tbk
ITMA,SUMBER ENERGI ANDALAN Tbk
ITMG,INDO TAMBANGRAYA MEGAH Tbk
JARR,JHONLIN AGRO RAYA Tbk
JAST,JASNITA TELEKOMINDO Tbk
JATI,INFORMASI TEKNOLOGI INDONESIA Tbk
JAWA,JAYA AGRA WATTIE Tbk
JAYA,ARMADA BERJAYA TRANS Tbk
JECC,JEMBO CABLE COMPANY Tbk
JGLE,GRAHA ANDRASENTRA PROPERTINDO Tbk
JIHD,JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT Tbk
JKON,JAYA KONSTRUKSI MANGGALA PRATAMA Tbk
JMAS,ASURANSI JIWA SYARIAH JASA MITRA ABADI Tbk
JPFA,JAPFA COMFEED INDONESIA Tbk
JRPT,JAYA REAL PROPERTY Tbk
JSKY,SKY ENERGY INDONESIA Tbk
JSMR,JASA MARGA (PERSERO) Tbk
JSPT,JAKARTA SETIABUDI INTERNASIONAL Tbk
JTPE,JASUINDO TIGA PERKASA Tbk
KAEF,KIMIA FARMA Tbk
KAQI,JANTRA GRUPO INDONESIA Tbk
KARW,MERATUS JASA PRIMA Tbk
KAYU,DARMI BERSAUDARA Tbk
KBAG,KARYA BERSAMA ANUGERAH Tbk
KBLI,KMI Wire and Cable Tbk
KBLM,KABELINDO MURNI Tbk
KBLV,FIRST MEDIA Tbk
KBRI,KERTAS BASUKI RACHMAT INDONESIA Tbk
KDSI,KEDAWUNG SETIA INDUSTRIAL Tbk
KDTN,PURI SENTUL PERMAI Tbk
KEEN,KENCANA ENERGI LESTARI Tbk
KEJU,MULIA BOGA RAYA Tbk
KETR,KETROSDEN TRIASMITRA Tbk
KIAS,KERAMIKA INDONESIA ASSOSIASI Tbk
KICI,KEDAUNG INDAH CAN Tbk
KIJA,KAWASAN INDUSTRI JABABEKA Tbk
KING,HOFFMEN CLEANINDO Tbk
KINO,KINO INDONESIA Tbk
KIOS,KIOSON KOMERSIAL INDONESIA Tbk
KJEN,KRIDA JARINGAN NUSANTARA Tbk
KKES,KUSUMA KEMINDO SENTOSA Tbk
KKGI,RESOURCE ALAM INDONESIA Tbk
KLAS,PELAYARAN KURNIA LAUTAN SEMESTA Tbk
KLBF,KALBE FARMA Tbk
KLIN,KLINKO KARYA IMAJI Tbk
KMDS,KURNIAMITRA DUTA SENTOSA Tbk
KMTR,KIRANA MEGATARA Tbk
KOBX,KOBEXINDO TRACTORS Tbk
KOCI,KOKOH EXA NUSANTARA Tbk
KOIN,KOKOH INTI AREBAMA Tbk
KOKA,KOKA INDONESIA Tbk
KONI,PERDANA BANGUN PUSAKA Tbk
KOPI,MITRA ENERGI PERSADA Tbk
KOTA,DMS PROPERTINDO Tbk
KPIG,MNC LAND Tbk
KRAS,KRAKATAU STEEL Tbk
KREN,QUANTUM CLOVERA INVESTAMA Tbk
KRYA,BANGUN KARYA PERKASA JAYA Tbk
KSIX,KENTANIX SUPRA INTERNATIONAL Tbk
KUAS,ACE OLDFIELDS Tbk
LABA,GREEN POWER GROUP Tbk
LABS,UBC MEDICAL INDONESIA Tbk
LAJU,JASA BERDIKARI LOGISTICS Tbk
LAND,TRIMITRA PROPERTINDO Tbk
LAPD,LEYAND INTERNATIONAL Tbk
LCGP,EUREKA PRIMA JAKARTA Tbk
LCKM,LCK GLOBAL KEDATON Tbk
LEAD,LOGINDO SAMUDRAMAKMUR Tbk
LFLO,IMAGO MULIA PERSADA Tbk
LIFE,MSIG LIFE INSURANCE INDONESIA Tbk
LINK,LINK NET Tbk
LION,LION METAL WORKS Tbk
LIVE,HOMECO VICTORIA MAKMUR Tbk
LMAS,LIMAS INDONESIA MAKMUR Tbk
LMAX,LUPROMAX PELUMAS INDONESIA Tbk
LMPI,LANGGENG MAKMUR INDUSTRI Tbk
LMSH,LIONMESH PRIMA Tbk
LOPI,LOGISTICSPLUS INTERNATIONAL Tbk
LPCK,LIPPO CIKARANG Tbk
LPGI,LIPPO GENERAL INSURANCE Tbk
LPIN,MULTI PRIMA SEJAHTERA Tbk
LPKR,LIPPO KARAWACI Tbk
LPLI,STAR PACIFIC Tbk
LPPF,MATAHARI DEPARTMENT STORE Tbk
LPPS,LENOX PASIFIK INVESTAMA Tbk
LRNA,EKA SARI LORENA TRANSPORT Tbk
LSIP,PP LONDON SUMATRA INDONESIA Tbk
LTLS,LAUTAN LUAS Tbk
LUCK,SENTRAL MITRA INFORMATIKA Tbk
LUCY,LIMA DUA LIMA TIGA Tbk
MABA,MARGA ABHINAYA ABADI Tbk
MAGP,MULTI AGRO GEMILANG PLANTATION Tbk
MAHA,MANDIRI HERINDO ADIPERKASA Tbk
MAIN,MALINDO FEEDMILL Tbk
MANG,MANGGUNG POLAHRAYA Tbk
MAPA,MAP AKTIF ADIPERKASA Tbk
MAPB,MAP BOGA ADIPERKASA Tbk
MAPI,MITRA ADIPERKASA Tbk
MARI,MAHAKA RADIO INTEGRA Tbk
MARK,MARK DYNAMICS INDONESIA Tbk
MASB,BANK MULTIARTA SENTOSA Tbk
MAXI,MAXINDO KARYA ANUGERAH Tbk
MAYA,BANK MAYAPADA INTERNASIONAL Tbk
MBAP,MITRABARA ADIPERDANA Tbk
MBMA,MERDEKA BATTERY MATERIALS Tbk
MBSS,MITRABAHTERA SEGARA SEJATI Tbk
MBTO,MARTINA BERTO Tbk
MCAS,M CASH INTEGRASI Tbk
MCOL,PRIMA ANDALAN MANDIRI Tbk
MCOR,BANK CHINA CONSTRUCTION BANK INDONESIA Tbk
MDIA,INTERMEDIA CAPITAL Tbk
